"","Sample_site","Latitude","Longitude","n","FirstDate","LastDate"
"71","1259_15m",41.771833,-81.389833,1,"2010-04-19","2010-04-19"
"72","1261_10m",41.738333,-81.3925,1,"2010-04-19","2010-04-19"
"73","1261_10m",41.745556,-81.393333,1,"2012-10-03","2012-10-03"
"74","1261_5m",41.71674,-81.39243,1,"2018-06-20","2018-06-20"
"75","1261_5m",41.71937,-81.38902,1,"2017-06-13","2017-06-13"
"76","1261_5m",41.7199,-81.393333,3,"2011-08-26","2012-10-03"
"77","1261_5m",41.72019,-81.3868,1,"2016-09-19","2016-09-19"
"78","1261_5m",41.726,-81.3805,1,"2010-04-19","2010-04-19"
"79","1268_20m",41.844722,-81.354444,3,"1996-08-06","2013-06-17"
"80","1269_15m",41.797778,-81.359167,9,"1996-08-06","2013-06-17"
"81","1269_15m",41.8155,-81.338833,1,"2010-04-19","2010-04-19"
"82","1269_15m",41.824833,-81.349,1,"2010-04-08","2010-04-08"
"83","1270_10m",41.77098,-81.36053,1,"2017-07-26","2017-07-26"
"84","1270_10m",41.794,-81.34467,1,"2010-04-08","2010-04-08"
"85","1270_5m",41.7708,-81.3498,3,"2007-04-03","2007-04-18"
"86","1271_5m",41.738167,-81.3455,1,"2010-04-19","2010-04-19"
"87","1271_5m",41.74232,-81.34618,1,"2017-07-26","2017-07-26"
"88","1272_5m",41.7255,-81.35,1,"2002-08-26","2002-08-26"
"89","1279_15m",41.83561,-81.31676,1,"2018-06-20","2018-06-20"
"90","1279_15m",41.83666667,-81.325,1,"2013-10-03","2013-10-03"
"91","1279_15m",41.83739,-81.31501,1,"2018-08-20","2018-08-20"
"92","1279_15m",41.83867,-81.32016,1,"2017-07-26","2017-07-26"
"93","1279_15m",41.83928,-81.30907,1,"2016-09-19","2016-09-19"
"94","1279_15m",41.843056,-81.310556,5,"1996-07-18","2012-10-02"
"95","1279_20m",41.85916667,-81.33972222,8,"2005-05-04","2005-09-06"
