"","Sample_ID","Sample_date","Sample_site","Water_body","Depth_m","Latitude","Longitude","Year","Month","Day","DOY","Time","Diatoms","Chrysophytes","Cryptophytes","Green_algae","Cyanobacteria","Dinoflagellates","Edibles","Inedibles","TotalPP","Site_consolidated"
"980","20080505-36-873","2008-05-05","36-873","Western Erie",6.6,41.768333,-83.300833,2008,5,5,126,2008.34153005464,0.068571273,0,0.294680667,0.137648703,0,0,0.500900643,0,0.500900643,"36-873"
"981","20080505-37-890","2008-05-05","37-890","Western Erie",6.3,41.7025,-83.248056,2008,5,5,126,2008.34153005464,0.082499013,0,0.123085558,0.122182761,0.01199021,0.008150208,0.206570718,0.141337032,0.34790775,"37-890"
"982","20080505-8-994","2008-05-05","8-994","Western Erie",43,41.517778,-82.600556,2008,5,5,126,2008.34153005464,0.211654564,0.014469223,0.084967328,0.337482615,0.003843387,0,0.64857373,0.003843387,0.652417117,"8-994"
"983","20080521-14-972","2008-05-21","14-972","Western Erie",6.4,41.571667,-82.77,2008,5,21,142,2008.38524590164,0.022088329,0.025387512,0.220800834,0.082669262,0,0,0.331905303,0.019040634,0.350945937,"14-972"
"984","20080521-16-970","2008-05-21","16-970","Western Erie",8.8,41.640278,-82.765833,2008,5,21,142,2008.38524590164,0.731222341,0,0.135356994,0.505762575,0,0,1.176779287,0.195562623,1.37234191,"16-970"
"985","20080521-3-996","2008-05-21","3-996","Western Erie",7.8,41.4475,-82.617778,2008,5,21,142,2008.38524590164,0.090993071,0,0.58189121,1.723477334,0.003255575,0,0.790277908,1.609339282,2.39961719,"3-996"
"986","20080521-8-994","2008-05-21","8-994","Western Erie",13.1,41.517778,-82.600556,2008,5,21,142,2008.38524590164,0.226427001,0,0.133131981,3.1359193,0,0,0.508243765,2.987234517,3.495478282,"8-994"
"987","20080523-27-918","2008-05-23","27-918","Western Erie",9.5,41.775556,-83.054722,2008,5,23,144,2008.39071038251,0.062467188,0.034375638,0.250093373,0.479518924,0.002673661,0,0.614599342,0.214529442,0.829128784,"27-918"
"988","20080523-29-905","2008-05-23","29-905","Western Erie",9.6,41.866389,-83.135278,2008,5,23,144,2008.39071038251,0.015949357,0.19662959,0.560519054,1.116504674,0,0,1.889439992,0.000162683,1.889602675,"29-905"
"989","20080523-36-873","2008-05-23","36-873","Western Erie",6.1,41.768333,-83.300833,2008,5,23,144,2008.39071038251,0.141030978,0.002733075,0.229241759,0.225775645,0,0,0.514739389,0.084042068,0.598781457,"36-873"
"990","20080523-37-890","2008-05-23","37-890","Western Erie",6.2,41.7025,-83.248056,2008,5,23,144,2008.39071038251,0.040364501,0.019200099,0.29869869,0.436973692,0,0,0.559570455,0.235666527,0.795236982,"37-890"
"991","20090507-14-972","2009-05-07","14-972","Western Erie",6.7,41.571667,-82.77,2009,5,7,127,2009.34520547945,0.338072749,0.002061531,0.396368083,0.143199132,0.011066752,0,0.608990198,0.281778049,0.890768247,"14-972"
"992","20090507-16-970","2009-05-07","16-970","Western Erie",9.1,41.640278,-82.765833,2009,5,7,127,2009.34520547945,0.041653767,0.048979447,0.278730263,0.280443433,0.021501163,0,0.639477911,0.031830162,0.671308073,"16-970"
"993","20090507-27-918","2009-05-07","27-918","Western Erie",9.5,41.775556,-83.054722,2009,5,7,127,2009.34520547945,0.434176149,0.011039703,0.070185201,0.121066141,0,0,0.636467194,0,0.636467194,"27-918"
"994","20090507-29-905","2009-05-07","29-905","Western Erie",9.1,41.866389,-83.135278,2009,5,7,127,2009.34520547945,0.360701923,0.012125588,0.298713053,0.382144727,0.010358947,0,1.014387546,0.049656692,1.064044238,"29-905"
"995","20090507-3-996","2009-05-07","3-996","Western Erie",8,41.4475,-82.617778,2009,5,7,127,2009.34520547945,0.539014808,0.000933587,0.376472769,0.149959327,0.00141983,0,0.736540382,0.331259939,1.067800321,"3-996"
"996","20090507-36-873","2009-05-07","36-873","Western Erie",6.4,41.768333,-83.300833,2009,5,7,127,2009.34520547945,0.085091154,0.002878228,0.229589506,0.070987834,0,0,0.342438632,0.04610809,0.388546722,"36-873"
"997","20090507-37-890","2009-05-07","37-890","Western Erie",6.1,41.7025,-83.248056,2009,5,7,127,2009.34520547945,0.077030526,0.008564127,0.202026565,0.12283478,0.006206012,0,0.401738636,0.014923374,0.41666201,"37-890"
"998","20090507-8-994","2009-05-07","8-994","Western Erie",13.2,41.517778,-82.600556,2009,5,7,127,2009.34520547945,0.049888696,0.001533282,0.286103256,0.204915969,0.000862471,0,0.49167519,0.051628484,0.543303674,"8-994"
"999","20090518-27-918","2009-05-18","27-918","Western Erie",9.5,41.775556,-83.054722,2009,5,18,138,2009.37534246575,0.129185069,0.004416428,0.143108688,0.175414311,0.002208214,0,0.421921239,0.032411471,0.45433271,"27-918"
"1000","20090518-29-905","2009-05-18","29-905","Western Erie",8.8,41.866389,-83.135278,2009,5,18,138,2009.37534246575,0.167203036,0.001132998,0.378180702,0.110863894,0.00028325,0,0.65738063,0.00028325,0.65766388,"29-905"
"1001","20090518-36-873","2009-05-18","36-873","Western Erie",6.4,41.768333,-83.300833,2009,5,18,138,2009.37534246575,0.662311177,0,1.07046117,0.258106058,0.000265915,0,1.372093972,0.619050348,1.99114432,"36-873"
"1002","20090518-37-890","2009-05-18","37-890","Western Erie",6.1,41.7025,-83.248056,2009,5,18,138,2009.37534246575,1.337040653,0,0.752934552,0.171615155,0,0,1.198857668,1.062732692,2.26159036,"37-890"
"1003","20090519-14-972","2009-05-19","14-972","Western Erie",6.1,41.571667,-82.77,2009,5,19,139,2009.37808219178,0.126223025,0,0.174972887,0.096225277,0,0,0.285330059,0.11209113,0.397421189,"14-972"
"1004","20090519-16-970","2009-05-19","16-970","Western Erie",9.1,41.640278,-82.765833,2009,5,19,139,2009.37808219178,0.204444255,0,0.055530122,0.080441334,0,0,0.149268643,0.191147068,0.340415711,"16-970"
"1005","20090519-3-996","2009-05-19","3-996","Western Erie",7.6,41.4475,-82.617778,2009,5,19,139,2009.37808219178,2.261165727,0,0.333063537,0.222391911,0.039749457,0,0.98393543,1.872435202,2.856370632,"3-996"
"1006","20090519-8-994","2009-05-19","8-994","Western Erie",13.1,41.517778,-82.600556,2009,5,19,139,2009.37808219178,1.810958426,0,0.468291905,0.229141499,0.031049069,0,0.890811058,1.648629841,2.539440899,"8-994"
"1007","20100510-14-972","2010-05-10","14-972","Western Erie",6.4,41.571667,-82.77,2010,5,10,130,2010.35342465753,0.104029921,0,0.338245485,0.158203648,0.001552386,0,0.56787895,0.03415249,0.60203144,"14-972"
"1008","20100510-16-970","2010-05-10","16-970","Western Erie",8.8,41.640278,-82.765833,2010,5,10,130,2010.35342465753,1.173812545,0,0.391769748,0.691439369,0,0,2.142439503,0.114582159,2.257021662,"16-970"
"1009","20100510-27-918","2010-05-10","27-918","Western Erie",9.1,41.775556,-83.054722,2010,5,10,130,2010.35342465753,0.680517135,0,0.245999919,0.04934275,0,0,0.975859804,0,0.975859804,"27-918"
"1010","20100510-29-905","2010-05-10","29-905","Western Erie",8.8,41.866389,-83.135278,2010,5,10,130,2010.35342465753,0.046770106,0.004975462,0.298441853,0.366139079,0,0,0.506290281,0.210036219,0.7163265,"29-905"
"1011","20100510-3-996","2010-05-10","3-996","Western Erie",8.2,41.4475,-82.617778,2010,5,10,130,2010.35342465753,0.380520506,0,0.342375128,0.285501108,0.138704153,0,0.896781481,0.250319414,1.147100895,"3-996"
"1012","20100510-36-873","2010-05-10","36-873","Western Erie",6.1,41.768333,-83.300833,2010,5,10,130,2010.35342465753,1.851300354,0.011340909,0.333175863,1.789319241,0.00136873,0,2.597072661,1.389432436,3.986505097,"36-873"
"1013","20100510-37-890","2010-05-10","37-890","Western Erie",NA,NA,NA,2010,5,10,130,2010.35342465753,0.177619279,0.02286606,0.197909116,0.252933375,0.000672531,0,0.583850534,0.068149827,0.652000361,"37-890"
"1014","20100510-8-994","2010-05-10","8-994","Western Erie",12.8,41.517778,-82.600556,2010,5,10,130,2010.35342465753,0.59489497,0,0.113057376,0.11478624,0.013820607,0,0.813937404,0.022621789,0.836559193,"8-994"
"1015","20100520-14-972","2010-05-20","14-972","Western Erie",5.8,41.571667,-82.77,2010,5,20,140,2010.38082191781,0.108387496,0,0.220355066,0.12245583,0.043818904,0,0.39447392,0.100543376,0.495017296,"14-972"
"1016","20100520-16-970","2010-05-20","16-970","Western Erie",8.5,41.640278,-82.765833,2010,5,20,140,2010.38082191781,1.188656554,0,0.902333516,1.311953526,0,0,2.324259636,1.07868396,3.402943596,"16-970"
"1017","20100520-3-996","2010-05-20","3-996","Western Erie",7.3,41.4475,-82.617778,2010,5,20,140,2010.38082191781,1.407663611,0.019486204,0.734985598,1.097900687,2.141951006,0,1.849072532,3.552914574,5.401987106,"3-996"
"1018","20100520-8-994","2010-05-20","8-994","Western Erie",12.2,41.517778,-82.600556,2010,5,20,140,2010.38082191781,0.405926603,0,0.39922714,0.138722887,0.019523184,0,0.897657097,0.065742717,0.963399814,"8-994"
"1019","20100524-27-918","2010-05-24","27-918","Western Erie",8.8,41.775556,-83.054722,2010,5,24,144,2010.39178082192,1.492968623,0.007400339,0.788240914,0.504737225,0.001484727,1.055090962,3.824849483,0.025073307,3.84992279,"27-918"
