"","Sample_ID","Sample_date","Sample_site","Water_body","Depth_m","Surface_temp","Latitude","Longitude","Year","Month","Day","DOY","Time","Sm_cladocerans","Lg_cladocerans","Cyclopoids","Calanoids","Rotifers","Nauplii","Veligers","Leptodora","TotalZP"
"1383","20030603-8-994","2003-06-03","8-994","Western Erie",13.3,15.1,41.517778,-82.600556,2003,6,3,154,2003.41917808219,17.2855551562114,28.244087693266,951.859836935264,122.213157687151,2.0713766262349,0.429927283939187,0.0646089436006995,4.62308016956023,1126.79163049523
"1384","20030605-27-918","2003-06-05","27-918","Western Erie",9.5,14.4,41.775556,-83.054722,2003,6,5,156,2003.42465753425,0.603705247634989,0.943780983146764,8.74486872724761,8.03741625323241,0.0206404038489701,0.0838384124346989,0.00267050300216225,3.95752091701208,22.3944414475597
"1385","20030605-29-905","2003-06-05","29-905","Western Erie",8.9,14.5,41.866389,-83.135278,2003,6,5,156,2003.42465753425,0.143999666926579,0.954110410472496,1.0003573403869,2.06751146715637,0,0.00544876711335394,0.00257499412901339,0.73239567316275,4.90639831934746
"1386","20030605-36-873","2003-06-05","36-873","Western Erie",6.3,15.2,41.768333,-83.300833,2003,6,5,156,2003.42465753425,0.582526509610046,54.061697549798,128.275515839326,29.1213188714343,0.0852971332299905,0.0558249952027614,0,1.33183037163972,213.514011270241
"1387","20030605-37-890","2003-06-05","37-890","Western Erie",6.2,15.4,41.7025,-83.248056,2003,6,5,156,2003.42465753425,0.1967605921726,26.3796504349404,230.298637222689,80.9821786086628,0,0,0,0,337.857226858465
"1388","20030617-8-994","2003-06-17","8-994","Western Erie",12.2,18.1,41.517778,-82.600556,2003,6,17,168,2003.45753424658,7.61566522560152,85.8935141359251,340.792790735449,163.561139450211,0.0160609803301174,0.217032017712591,0.067894144122769,0,598.164096689352
"1389","20030618-16-970","2003-06-18","16-970","Western Erie",8.8,18.2,41.640278,-82.765833,2003,6,18,169,2003.4602739726,3.10557844243564,185.393770697226,133.654424273717,71.0623536964785,2.93177746792833,0.547345911079943,0.167860188707341,3.10416268598131,399.967273363555
"1390","20030624-14-972","2003-06-24","14-972","Western Erie",5.8,23.9,41.571667,-82.77,2003,6,24,175,2003.47671232877,8.82820677178826,44.9099748418467,305.028821480616,121.427059255765,2.0212292083643,2.21452679334747,6.23463735913365,7.03561819587038,497.700073906732
"1391","20030624-3-996","2003-06-24","3-996","Western Erie",7.3,21.1,41.4475,-82.617778,2003,6,24,175,2003.47671232877,12.5838814407666,35.6521961526173,102.861303038178,78.3823572925795,1.04629547474694,1.61561239264824,5.81796586854799,2.44712136755081,240.406733027635
"1392","20030625-27-918","2003-06-25","27-918","Western Erie",8.8,22,41.775556,-83.054722,2003,6,25,176,2003.47945205479,1.35129194787859,67.16997075478,3.74861476962089,2.63424371317188,0.165964523804401,0.151378123205796,3.86194801575382,2.15554221092232,81.2389540591377
"1393","20030625-29-905","2003-06-25","29-905","Western Erie",8.5,22.4,41.866389,-83.135278,2003,6,25,176,2003.47945205479,2.39873135915125,38.4224067641712,12.2780480843753,53.1515721519587,0.245603180839711,0.0434746751728448,3.23778420101835,5.10249885623637,114.880119272924
"1394","20030625-36-873","2003-06-25","36-873","Western Erie",5.8,22.9,41.768333,-83.300833,2003,6,25,176,2003.47945205479,2.82071968239679,136.186951339527,333.379606476306,6.77672100186517,29.739496739402,0.53912255843605,6.00863175486505,2.2718094759388,517.723059028737
"1395","20030625-37-890","2003-06-25","37-890","Western Erie",5.5,24.4,41.7025,-83.248056,2003,6,25,176,2003.47945205479,0.807197591964695,100.886957944582,85.585035541214,25.6269325758678,3.7236082720779,0.466015375046383,5.63530633517503,0,222.731053635928
"1396","20030701-14-972","2003-07-01","14-972","Western Erie",6.4,21.3,41.571667,-82.77,2003,7,1,182,2003.49589041096,232.424186140599,122.871364997671,676.309051060378,401.252393846133,3.87561156629019,0.121171361315446,0.295726842521322,2.60837980359466,1439.7578856185
"1397","20030701-16-970","2003-07-01","16-970","Western Erie",9.1,21,41.640278,-82.765833,2003,7,1,182,2003.49589041096,149.48855365575,123.991324152004,458.285317858639,186.43183399712,0,0.135620065452549,0,3.42960319068397,921.76225291965
"1398","20030701-27-918","2003-07-01","27-918","Western Erie",9.4,22.2,41.775556,-83.054722,2003,7,1,182,2003.49589041096,7.96442695514103,43.7521000241399,21.0046552081132,78.5244113012432,6.3604489890854,0.522419706700728,17.7855499944006,0,175.914012178824
"1399","20030701-29-905","2003-07-01","29-905","Western Erie",9.1,22.5,41.866389,-83.135278,2003,7,1,182,2003.49589041096,6.91948912625468,110.069359929854,26.8169617647926,26.4769053595263,2.70015158217029,0.195466260136742,15.8814719174525,0,189.059805940187
"1400","20030701-3-996","2003-07-01","3-996","Western Erie",8.1,21.2,41.4475,-82.617778,2003,7,1,182,2003.49589041096,55.2469866052859,147.156215311945,308.851239509233,105.250693453959,2.39675352381082,1.10642330195636,0.696469434178246,10.1355587812638,630.840339921632
"1401","20030701-36-873","2003-07-01","36-873","Western Erie",6.4,23.3,41.768333,-83.300833,2003,7,1,182,2003.49589041096,13.2086868625147,62.8465682367706,454.627357360959,16.270360624502,3.17607258761433,0.280395287103421,3.57778927853788,3.75489829503515,557.742128533037
"1402","20030701-37-890","2003-07-01","37-890","Western Erie",6.1,22.8,41.7025,-83.248056,2003,7,1,182,2003.49589041096,5.96033372032032,82.5210167702685,276.103783745344,35.1826930765599,2.62114006340462,0.648645201777796,23.1223254989196,0,426.159938076595
"1403","20030701-8-994","2003-07-01","8-994","Western Erie",13,21.5,41.517778,-82.600556,2003,7,1,182,2003.49589041096,26.226094213611,152.698504639219,271.165763476013,102.777932108529,0.485050081420907,0.352003809166979,0.193770006753197,2.61320284171306,556.512321176426
"1404","20030714-14-972","2003-07-14","14-972","Western Erie",6.5,23.2,41.571667,-82.77,2003,7,14,195,2003.53150684932,64.1554326367631,118.408865783111,43.874315464548,29.7665535638346,3.81138769487571,0.452741756972385,0,0,260.469296900105
"1405","20030714-16-970","2003-07-14","16-970","Western Erie",9.1,23.2,41.640278,-82.765833,2003,7,14,195,2003.53150684932,4.59123068097168,76.1420828152556,139.209205426656,121.617721535378,0.127472106288825,0.899690991620828,0,0.613514130676887,343.200917686848
"1406","20030714-27-918","2003-07-14","27-918","Western Erie",9.4,24,41.775556,-83.054722,2003,7,14,195,2003.53150684932,1.24251651705968,65.1236123619958,8.43225896774931,8.39041630645549,0,0.329001181783158,5.89475579072603,0,89.4125611257695
"1407","20030714-29-905","2003-07-14","29-905","Western Erie",9.2,24.3,41.866389,-83.135278,2003,7,14,195,2003.53150684932,2.10800963512016,46.7047311581663,4.14352492181449,2.32048378892428,1.35834891354649,0.203239553122666,3.73022641571869,2.26773421015958,62.8362985965726
"1408","20030714-3-996","2003-07-14","3-996","Western Erie",8.3,22.6,41.4475,-82.617778,2003,7,14,195,2003.53150684932,0.579890744690661,23.8303785606024,65.1473624891001,11.9805626348421,0.573461697482454,1.92200656027303,0.131532237419932,0,104.165194924411
"1409","20030714-36-873","2003-07-14","36-873","Western Erie",6.5,24.6,41.768333,-83.300833,2003,7,14,195,2003.53150684932,75.1975825778766,46.4585594826746,72.3785318596133,20.0933458830868,0,0.299606233341896,0.0618432274184941,0,214.489469264012
"1410","20030714-37-890","2003-07-14","37-890","Western Erie",6.1,24.5,41.7025,-83.248056,2003,7,14,195,2003.53150684932,38.2129657829904,18.2086023300891,21.7517515361675,7.85331166544075,0,0,3.34456369969597,0,89.3711950143836
"1411","20030714-8-994","2003-07-14","8-994","Western Erie",12.9,22.2,41.517778,-82.600556,2003,7,14,195,2003.53150684932,0.384443791296733,55.3046987500007,8.3439988419001,17.2930563419867,42.2395381553915,1.42184379702404,0.149137321505368,0,125.136716999105
"1412","20040603-14-972","2004-06-03","14-972","Western Erie",7.4,18.9,41.571667,-82.77,2004,6,3,155,2004.42076502732,1.59070467246857,115.107014439319,137.234142373962,114.91072822251,0,0.177988561907597,0.585651449524822,1.35452880956904,370.960758529261
"1413","20040603-16-970","2004-06-03","16-970","Western Erie",10.5,19.5,41.640278,-82.765833,2004,6,3,155,2004.42076502732,0.396143322699841,71.4426540505905,110.466279849995,57.5106744300599,0,0.104349843327858,0.517377293960983,1.67900645238773,242.116485243021
"1414","20040603-27-918","2004-06-03","27-918","Western Erie",10.7,19,41.775556,-83.054722,2004,6,3,155,2004.42076502732,0.896163993772893,0.400889891957087,3.08938750835477,3.64486553215612,0.0934888440446466,0.0550787855314561,0.413690938441465,10.8795386632008,19.4731041574593
"1415","20040603-29-905","2004-06-03","29-905","Western Erie",9.9,19.7,41.866389,-83.135278,2004,6,3,155,2004.42076502732,1.25196607868314,0.386763507459076,1.27593975814095,3.06515522093305,0.0744036594505655,0.0746073805496977,0.524753839924881,3.66331136242488,10.3169008075662
"1416","20040603-3-996","2004-06-03","3-996","Western Erie",9.3,18.2,41.4475,-82.617778,2004,6,3,155,2004.42076502732,26.9411759884563,56.7105536561288,119.661547086692,70.5186954303976,0.463354075722283,1.01352158617952,22.943683149749,1.33088224430777,299.583413217634
"1417","20040603-36-873","2004-06-03","36-873","Western Erie",7,21,41.768333,-83.300833,2004,6,3,155,2004.42076502732,0.555120820651857,35.5587913961535,129.735381275246,11.6687571359079,0,0.154717510272515,0.34409518075583,4.93923739613056,182.956100715119
"1418","20040603-37-890","2004-06-03","37-890","Western Erie",6.6,21.4,41.7025,-83.248056,2004,6,3,155,2004.42076502732,0,39.5337710969764,180.447362265775,88.5661582679089,0.0173897564468,0.638659131403495,0.0573491967926383,2.19252488267523,311.453214597978
"1419","20040603-8-994","2004-06-03","8-994","Western Erie",14.1,16.7,41.517778,-82.600556,2004,6,3,155,2004.42076502732,21.5955311473721,29.3520032895662,105.769066124038,52.4681573908197,22.7718943657951,1.7998505249538,0.492633162510675,2.02436278559204,236.273498790647
"1420","20040624-14-972","2004-06-24","14-972","Western Erie",6.1,21.6,41.571667,-82.77,2004,6,24,176,2004.4781420765,4.50284905541439,34.7176187876108,382.597451187917,104.554636034957,0,0.755793743710239,0.0838768392176594,1.86222531380664,529.074450962634
"1421","20040624-16-970","2004-06-24","16-970","Western Erie",8.5,21.2,41.640278,-82.765833,2004,6,24,176,2004.4781420765,6.36776423135657,58.4259430523297,327.087990900711,395.555544058606,0.0123502088083486,1.60208478896769,0.156623102614966,0,789.208300343395
"1422","20040624-27-918","2004-06-24","27-918","Western Erie",8.8,20.6,41.775556,-83.054722,2004,6,24,176,2004.4781420765,1.90188040414688,267.727295979425,79.4946357385695,163.487441080937,0,1.07316382374745,11.9878094325004,1.38431660833563,527.056543067662
